# Jobs
4
# Duraciones nominal de los jobs
5, 1, 2, 9
#
65 # Numero de Periodos Totales
0.1, 0.2, 0.05, 0.06, 0.05, 0.04, 0.05, 0.05, 0.06, 0.05, 0.04, 0.05, 0.05, 0.06, 0.05, 0.04, 0.05, 0.05, 0.06, 0.05, 0.1, 0.2, 0.05, 0.06, 0.05, 0.04, 0.05, 0.05, 0.06, 0.05, 0.04, 0.05, 0.05, 0.06, 0.05, 0.04, 0.05, 0.05, 0.06, 0.05, 0.1, 0.2, 0.05, 0.06, 0.05, 0.04, 0.05, 0.05, 0.06, 0.05, 0.04, 0.05, 0.05, 0.06, 0.05, 0.04, 0.05, 0.05, 0.06, 0.05, 0.04, 0.05, 0.05, 0.06, 0.05
#
3 # Estados: Down, Idle, Production (D,I,P)
0,2,5   # Energy requirements per time period in transition Rows:From Cols:To
0.5,1,3
0,0.5,3
#
0,1,4 # Time duration for transtions Rows:From Cols:To. Val <0 => Not allowed
1,0,2
-1,1,0
#
4  # 4 Factores de velocidad
1 1.5 2 2.5
3 5.1 7.5 10.
#
